variant,seed,paradigm,participants,windows,prevalence,auc
CNN,42,Active dual-task Maze,8,485,0.33608247422680415,0.35165567960980065
CNN,42,Single-task sources,9,768,0.14973958333333334,0.776363273187296
CNN,123,Active dual-task Maze,8,485,0.33608247422680415,0.5378577144381359
CNN,123,Single-task sources,9,768,0.14973958333333334,0.7464811239097144
CNN,456,Active dual-task Maze,8,485,0.33608247422680415,0.5550623023282399
CNN,456,Single-task sources,9,768,0.14973958333333334,0.645129502630002
CNN+GRU,42,Active dual-task Maze,8,485,0.33608247422680415,0.39658194566170035
CNN+GRU,42,Single-task sources,9,768,0.14973958333333334,0.7414874492309741
CNN+GRU,123,Active dual-task Maze,8,485,0.33608247422680415,0.23857790648934954
CNN+GRU,123,Single-task sources,9,768,0.14973958333333334,0.6465543644716691
CNN+GRU,456,Active dual-task Maze,8,485,0.33608247422680415,0.4180543382997371
CNN+GRU,456,Single-task sources,9,768,0.14973958333333334,0.7126839336840003
CNN+TCN,42,Active dual-task Maze,8,485,0.33608247422680415,0.3642495141561559
CNN+TCN,42,Single-task sources,9,768,0.14973958333333334,0.7420067913975631
CNN+TCN,123,Active dual-task Maze,8,485,0.33608247422680415,0.33113592196014174
CNN+TCN,123,Single-task sources,9,768,0.14973958333333334,0.7233237898661695
CNN+TCN,456,Active dual-task Maze,8,485,0.33608247422680415,0.2683572762260412
CNN+TCN,456,Single-task sources,9,768,0.14973958333333334,0.7132432252480192
CNN+TCN+GRU,42,Active dual-task Maze,8,485,0.33608247422680415,0.4034409175780208
CNN+TCN+GRU,42,Single-task sources,9,768,0.14973958333333334,0.8193355083560824
CNN+TCN+GRU,123,Active dual-task Maze,8,485,0.33608247422680415,0.30993026711885074
CNN+TCN+GRU,123,Single-task sources,9,768,0.14973958333333334,0.8071109927425262
CNN+TCN+GRU,456,Active dual-task Maze,8,485,0.33608247422680415,0.35752391113820825
CNN+TCN+GRU,456,Single-task sources,9,768,0.14973958333333334,0.7132432252480192
Lite,42,Active dual-task Maze,8,485,0.33608247422680415,0.29935601874785656
Lite,42,Single-task sources,9,768,0.14973958333333334,0.6551301684532925
Lite,123,Active dual-task Maze,8,485,0.33608247422680415,0.3089776321304729
Lite,123,Single-task sources,9,768,0.14973958333333334,0.7995339236966509
Lite,456,Active dual-task Maze,8,485,0.33608247422680415,0.462104180162329
Lite,456,Single-task sources,9,768,0.14973958333333334,0.7623144017577735
MLP,42,Active dual-task Maze,8,485,0.33608247422680415,0.46421902983652785
MLP,42,Single-task sources,9,768,0.14973958333333334,0.7662161262400959
MLP,123,Active dual-task Maze,8,485,0.33608247422680415,0.3608009754982281
MLP,123,Single-task sources,9,768,0.14973958333333334,0.7269059191690526
MLP,456,Active dual-task Maze,8,485,0.33608247422680415,0.48725374385550435
MLP,456,Single-task sources,9,768,0.14973958333333334,0.6843598109061855
VRC-3PO,42,Active dual-task Maze,8,485,0.33608247422680415,0.39448614868726906
VRC-3PO,42,Single-task sources,9,768,0.14973958333333334,0.7080364871163193
VRC-3PO,123,Active dual-task Maze,8,485,0.33608247422680415,0.48493884083374617
VRC-3PO,123,Single-task sources,9,768,0.14973958333333334,0.703042812437579
VRC-3PO,456,Active dual-task Maze,8,485,0.33608247422680415,0.40448881606523646
VRC-3PO,456,Single-task sources,9,768,0.14973958333333334,0.6648112390971437
