variant,paradigm,mean,std
CNN,Active dual-task Maze,0.4815252321253922,0.11279882518921493
CNN,Single-task sources,0.7226579665756708,0.0687839570880672
CNN+GRU,Active dual-task Maze,0.351071396816929,0.09801201424295601
CNN+GRU,Single-task sources,0.7002419157955478,0.04867417695587441
CNN+TCN,Active dual-task Maze,0.32124757078077965,0.04870487594272494
CNN+TCN,Single-task sources,0.7261912688372506,0.014594605549551182
CNN+TCN+GRU,Active dual-task Maze,0.3569650319450266,0.046757830325932566
CNN+TCN+GRU,Single-task sources,0.7798965754488759,0.05804620155742366
Lite,Active dual-task Maze,0.3568126103468862,0.0913119919105445
Lite,Single-task sources,0.7389928313025723,0.07497354779166197
MLP,Active dual-task Maze,0.4374245830634201,0.06735007379144006
MLP,Single-task sources,0.7258272854384447,0.04093881627569061
VRC-3PO,Active dual-task Maze,0.4279712685287505,0.049588219966159704
VRC-3PO,Single-task sources,0.6919635128836807,0.02364674767348715
