protocol,variant,seed,parameters,test_windows,r2,mse,spearman,qwk,auc
participant,MLP,42,3569,1253,-0.05776166915893555,2.2830374240875244,0.0888500048566738,0.1185883343503823,0.5135952776240547
participant,MLP,123,3569,1253,-0.03935706615447998,2.2433135509490967,0.3762939617246741,0.19097802907834072,0.6032650802434976
participant,MLP,456,3569,1253,-0.3009650707244873,2.80795955657959,0.3731486555653119,0.14200117820732816,0.6421693414499169
participant,CNN,42,3537,1253,-0.10882008075714111,2.393240213394165,0.41387245783775,0.22123270473001855,0.6174063825862387
participant,CNN,123,3537,1253,0.11552417278289795,1.9090230464935303,0.5281502672498545,0.35726759924588103,0.7119276886183361
participant,CNN,456,3537,1253,-0.1835174560546875,2.55446457862854,0.43878765815934945,0.2747174764023167,0.6743073233720717
participant,CNN+GRU,42,32049,1253,0.020641744136810303,2.113814115524292,0.44793191916246694,0.3426493985518433,0.653134108098137
participant,CNN+GRU,123,32049,1253,-1.003803014755249,4.324941635131836,0.18139241083757573,0.03839484163717377,0.4884412470023981
participant,CNN+GRU,456,32049,1253,0.15957623720169067,1.8139426708221436,0.4362881967880793,0.2581506145614645,0.6211842833425567
participant,CNN+TCN,42,102353,1253,-0.06412327289581299,2.2967681884765625,0.38680347584716007,0.10098447827399226,0.6092971776425014
participant,CNN+TCN,123,102353,1253,-0.032990455627441406,2.229572057723999,0.31852455140547303,0.17354714013239803,0.5895701900018446
participant,CNN+TCN,456,102353,1253,-0.08628237247467041,2.3445956707000732,0.18757994743077064,0.003391221430942948,0.5063530713890426
participant,CNN+TCN+GRU,42,130865,1253,-0.48181843757629395,3.198307514190674,0.466730361826871,0.24778043692267437,0.6508282604685482
participant,CNN+TCN+GRU,123,130865,1253,-0.5518779754638672,3.3495216369628906,0.3385623738385874,0.2023860418692519,0.5872680317284634
participant,CNN+TCN+GRU,456,130865,1253,-0.786870002746582,3.856720447540283,0.3055283026136541,0.1229303379529364,0.5690499907766094
participant,VRC-3PO,42,137345,1253,-0.18574774265289307,2.5592782497406006,0.3247898064572818,0.03388473685856341,0.5727393469839513
participant,VRC-3PO,123,137345,1253,-0.08212590217590332,2.3356244564056396,0.47466849234004815,0.030539171344820648,0.6715845784910532
participant,VRC-3PO,456,137345,1253,-0.38776206970214844,2.9952993392944336,0.3018079083056951,0.09348882579524531,0.5590665928795425
participant,Lite,42,10385,1253,-0.5690386295318604,3.3865604400634766,0.40879046710847966,0.2402514004282882,0.615111603025272
participant,Lite,123,10385,1253,-0.7202270030975342,3.7128806114196777,0.49150897862971127,0.23327615382623157,0.6599114554510237
participant,Lite,456,10385,1253,-0.5223628282546997,3.2858171463012695,0.34159376667198954,0.151751245347848,0.6173252167496772
blocked_within_participant,MLP,42,3569,843,0.13175469636917114,3.0572516918182373,0.4324772451922595,0.2856636447139328,0.693337963530389
blocked_within_participant,MLP,123,3569,843,0.21887856721878052,2.7504725456237793,0.48297699768174907,0.3280812615174684,0.7131456741703095
blocked_within_participant,MLP,456,3569,843,0.3359948396682739,2.3380844593048096,0.5598145327227223,0.5716090028827772,0.7606256213315902
blocked_within_participant,CNN,42,3537,843,0.20569324493408203,2.796900510787964,0.46153574100558287,0.33416924453279684,0.7025098391687435
blocked_within_participant,CNN,123,3537,843,0.21304243803024292,2.7710227966308594,0.4924968289275469,0.3637634265312124,0.7165706581688933
blocked_within_participant,CNN,456,3537,843,0.2872447967529297,2.509742498397827,0.5076223370069978,0.5494849138184623,0.7608741539676703
blocked_within_participant,CNN+GRU,42,32049,843,0.32775789499282837,2.3670883178710938,0.5554294996084829,0.537970363446233,0.7671896065694326
blocked_within_participant,CNN+GRU,123,32049,843,0.29497331380844116,2.4825289249420166,0.4963767148237161,0.519723425330666,0.7634854489248408
blocked_within_participant,CNN+GRU,456,32049,843,0.12974172830581665,3.0643398761749268,0.43842592100690025,0.22991632058002343,0.6912679930819408
blocked_within_participant,CNN+TCN,42,102353,843,0.33554720878601074,2.33966064453125,0.581807943850605,0.5144115404151195,0.7773079489588866
blocked_within_participant,CNN+TCN,123,102353,843,0.3949772119522095,2.130396842956543,0.5828899756786595,0.541209278075875,0.7779275782707575
blocked_within_participant,CNN+TCN,456,102353,843,0.43674159049987793,1.9833368062973022,0.5999649239921736,0.553682665287491,0.7823671201536135
blocked_within_participant,CNN+TCN+GRU,42,130865,843,0.014912843704223633,3.4686734676361084,0.3703437331712492,0.22458999591978024,0.6612261851261728
blocked_within_participant,CNN+TCN+GRU,123,130865,843,0.05125701427459717,3.3406989574432373,0.40879573315217455,0.3371791662706789,0.6780174585665455
blocked_within_participant,CNN+TCN+GRU,456,130865,843,0.39952367544174194,2.1143877506256104,0.5803616426771858,0.5197634217076568,0.7709686644605139
blocked_within_participant,VRC-3PO,42,137345,843,0.38459545373916626,2.1669528484344482,0.6046439535459609,0.5414336682623484,0.7818768639947706
blocked_within_participant,VRC-3PO,123,137345,843,0.06330901384353638,3.2982616424560547,0.39194686830696307,0.18472745857755501,0.6729446691451839
blocked_within_participant,VRC-3PO,456,137345,843,0.40837740898132324,2.08321213722229,0.5740620198636773,0.5209779395369245,0.772235159537525
blocked_within_participant,Lite,42,10385,843,0.3501976728439331,2.288073778152466,0.5286967111951603,0.5530629339038722,0.7736514551075159
blocked_within_participant,Lite,123,10385,843,0.2391221523284912,2.6791911125183105,0.4827393009258405,0.45269809413212414,0.7695319415505713
blocked_within_participant,Lite,456,10385,843,0.052734315395355225,3.3354969024658203,0.33409475301328645,0.2055882583834524,0.6433760945649658
