protocol,variant,seed,qwk
blocked_within_participant,CNN,42,0.33416924453279684
blocked_within_participant,CNN,123,0.3637634265312124
blocked_within_participant,CNN,456,0.5494849138184623
blocked_within_participant,CNN+GRU,42,0.537970363446233
blocked_within_participant,CNN+GRU,123,0.519723425330666
blocked_within_participant,CNN+GRU,456,0.22991632058002343
blocked_within_participant,CNN+TCN,42,0.5144115404151195
blocked_within_participant,CNN+TCN,123,0.541209278075875
blocked_within_participant,CNN+TCN,456,0.553682665287491
blocked_within_participant,CNN+TCN+GRU,42,0.22458999591978024
blocked_within_participant,CNN+TCN+GRU,123,0.3371791662706789
blocked_within_participant,CNN+TCN+GRU,456,0.5197634217076568
blocked_within_participant,Lite,42,0.5530629339038722
blocked_within_participant,Lite,123,0.45269809413212414
blocked_within_participant,Lite,456,0.2055882583834524
blocked_within_participant,MLP,42,0.2856636447139328
blocked_within_participant,MLP,123,0.3280812615174684
blocked_within_participant,MLP,456,0.5716090028827772
blocked_within_participant,VRC-3PO,42,0.5414336682623484
blocked_within_participant,VRC-3PO,123,0.18472745857755501
blocked_within_participant,VRC-3PO,456,0.5209779395369245
participant,CNN,42,0.22123270473001855
participant,CNN,123,0.35726759924588103
participant,CNN,456,0.2747174764023167
participant,CNN+GRU,42,0.3426493985518433
participant,CNN+GRU,123,0.03347513894184606
participant,CNN+GRU,456,0.2581506145614645
participant,CNN+TCN,42,0.10098447827399226
participant,CNN+TCN,123,0.17354714013239803
participant,CNN+TCN,456,0.003391221430942948
participant,CNN+TCN+GRU,42,0.24778043692267437
participant,CNN+TCN+GRU,123,0.2023860418692519
participant,CNN+TCN+GRU,456,0.11830441638547062
participant,Lite,42,0.2402514004282882
participant,Lite,123,0.23327615382623157
participant,Lite,456,0.14761466516108424
participant,MLP,42,0.1185883343503823
participant,MLP,123,0.19097802907834072
participant,MLP,456,0.14200117820732816
participant,VRC-3PO,42,0.028601626594116136
participant,VRC-3PO,123,0.030539171344820648
participant,VRC-3PO,456,0.08447873336237566
