index,composition_seed,protocol_version,status,train_windows,validation_windows,test_participants,test_windows,elevated_windows,prevalence,pooled_auc,average_precision,cluster_ci_lower,cluster_ci_upper,cluster_replicates,train_participants,validation_participants
0,0,2,complete,2996,353,9,831,81,0.0974729241877256,0.7096131687242798,0.2514108503962421,0.5757363880445473,0.8545285712644597,4998,59,8
1,1,2,complete,2990,370,9,820,214,0.2609756097560975,0.5862866660497825,0.3577696269013541,0.3721672024318662,0.8197671622672652,4994,59,8
2,2,2,complete,2961,345,9,874,67,0.0766590389016018,0.669440899591263,0.1037920607193854,0.5410687512889256,0.7976945322018979,4982,59,8
3,3,2,complete,2962,370,9,848,118,0.1391509433962264,0.6449268632458788,0.191556063597735,0.5149621390440204,0.8337619470749182,4996,59,8
4,4,2,complete,3125,331,9,724,68,0.0939226519337016,0.7477806671449068,0.1787000896934721,0.6039961826123099,0.8400814487159132,4997,59,8
5,5,2,complete,3014,358,9,808,112,0.1386138613861386,0.5875795361247947,0.1728198949854271,0.3932942240175965,0.7800221612692226,4977,59,8
6,6,2,complete,3081,344,9,755,165,0.2185430463576159,0.6538880328710838,0.2960028000843998,0.4726885158539834,0.7755606920478533,4977,59,8
7,7,2,complete,2996,351,9,833,78,0.0936374549819928,0.5670062829003226,0.0994296661646315,0.4372258234434125,0.6897560282605654,4970,59,8
8,8,2,complete,3085,294,9,801,87,0.1086142322097378,0.7334589008017,0.1936869128004376,0.5574609003179618,0.8456446294007051,4970,59,8
9,9,2,complete,2993,343,9,844,121,0.1433649289099526,0.6498862636169312,0.1913614755779482,0.4509004397645694,0.8101412650896027,4982,59,8
10,10,2,complete,2994,361,9,825,86,0.1042424242424242,0.7218743116090254,0.2487631776790666,0.5881331835615253,0.8416799404994139,4998,59,8
11,11,2,complete,3093,334,9,753,67,0.0889774236387782,0.6079369914277012,0.116405976944794,0.4018714602314701,0.7812718384634567,5000,59,8
12,12,2,complete,3024,315,9,841,139,0.1652794292508917,0.4680973170181803,0.1491267246683611,0.3654573985701224,0.8073232618477328,4968,59,8
13,13,2,complete,3052,353,9,775,93,0.12,0.7167407687699051,0.1972044896760927,0.5934460653612915,0.880158426183844,4995,59,8
14,14,2,complete,3023,347,9,810,73,0.0901234567901234,0.5371647367149309,0.0894327116316141,0.3948846193772223,0.7919167481865214,4980,59,8
15,15,2,complete,2981,365,9,834,87,0.1043165467625899,0.7105971779839665,0.1768254326535504,0.5341233820810221,0.8550884755164595,4994,59,8
16,16,2,complete,2966,353,9,861,175,0.2032520325203252,0.4872636401499375,0.2267301251693392,0.3389217965143527,0.7998802528226132,4974,59,8
17,17,2,complete,2992,346,9,842,101,0.1199524940617577,0.5917344770914338,0.1428463416168806,0.3584245476517881,0.8483647711221101,4986,59,8
18,18,2,complete,3081,246,9,853,166,0.1946072684642438,0.5467722418056505,0.261388517436496,0.3673806602887414,0.8653968590831919,4973,59,8
19,19,2,complete,3029,333,9,818,74,0.0904645476772616,0.6721519907003778,0.1339954466063918,0.425156140954863,0.803600238022516,4979,59,8
