participant_id,condition,source_dataset,start_index,end_index,split
maze_1.0,maze,maze,0,30,train
maze_1.0,maze,maze,15,45,train
maze_1.0,maze,maze,30,60,train
maze_1.0,maze,maze,45,75,train
maze_1.0,maze,maze,60,90,train
maze_1.0,maze,maze,75,105,train
maze_1.0,maze,maze,90,120,train
maze_1.0,maze,maze,105,135,train
maze_1.0,maze,maze,120,150,train
maze_1.0,maze,maze,135,165,train
maze_1.0,maze,maze,150,180,train
maze_1.0,maze,maze,165,195,train
maze_1.0,maze,maze,180,210,train
maze_1.0,maze,maze,195,225,train
maze_1.0,maze,maze,210,240,train
maze_1.0,maze,maze,225,255,train
maze_1.0,maze,maze,240,270,train
maze_1.0,maze,maze,255,285,train
maze_1.0,maze,maze,270,300,train
maze_1.0,maze,maze,285,315,train
maze_1.0,maze,maze,300,330,train
maze_1.0,maze,maze,315,345,train
maze_1.0,maze,maze,330,360,train
maze_1.0,maze,maze,345,375,train
maze_1.0,maze,maze,360,390,train
maze_1.0,maze,maze,375,405,train
maze_1.0,maze,maze,390,420,train
maze_1.0,maze,maze,405,435,train
maze_1.0,maze,maze,420,450,train
maze_1.0,maze,maze,435,465,train
maze_1.0,maze,maze,450,480,train
maze_1.0,maze,maze,465,495,train
maze_1.0,maze,maze,480,510,train
maze_1.0,maze,maze,495,525,train
maze_1.0,maze,maze,510,540,train
maze_1.0,maze,maze,525,555,train
maze_1.0,maze,maze,540,570,excluded
maze_1.0,maze,maze,555,585,excluded
maze_1.0,maze,maze,570,600,excluded
maze_1.0,maze,maze,585,615,validation
maze_1.0,maze,maze,600,630,validation
maze_1.0,maze,maze,615,645,validation
maze_1.0,maze,maze,630,660,validation
maze_1.0,maze,maze,645,675,validation
maze_1.0,maze,maze,660,690,validation
maze_1.0,maze,maze,675,705,validation
maze_1.0,maze,maze,690,720,validation
maze_1.0,maze,maze,705,735,validation
maze_1.0,maze,maze,720,750,excluded
maze_1.0,maze,maze,735,765,excluded
maze_1.0,maze,maze,750,780,excluded
maze_1.0,maze,maze,765,795,test
maze_1.0,maze,maze,780,810,test
maze_1.0,maze,maze,795,825,test
maze_1.0,maze,maze,810,840,test
maze_1.0,maze,maze,825,855,test
maze_1.0,maze,maze,840,870,test
maze_1.0,maze,maze,855,885,test
maze_1.0,maze,maze,870,900,test
maze_1.0,maze,maze,885,915,test
maze_1.0,maze,maze,900,930,test
maze_10.0,maze,maze,0,30,train
maze_10.0,maze,maze,15,45,train
maze_10.0,maze,maze,30,60,train
maze_10.0,maze,maze,45,75,train
maze_10.0,maze,maze,60,90,train
maze_10.0,maze,maze,75,105,train
maze_10.0,maze,maze,90,120,train
maze_10.0,maze,maze,105,135,train
maze_10.0,maze,maze,120,150,train
maze_10.0,maze,maze,135,165,train
maze_10.0,maze,maze,150,180,train
maze_10.0,maze,maze,165,195,train
maze_10.0,maze,maze,180,210,train
maze_10.0,maze,maze,195,225,train
maze_10.0,maze,maze,210,240,train
maze_10.0,maze,maze,225,255,train
maze_10.0,maze,maze,240,270,train
maze_10.0,maze,maze,255,285,train
maze_10.0,maze,maze,270,300,train
maze_10.0,maze,maze,285,315,train
maze_10.0,maze,maze,300,330,train
maze_10.0,maze,maze,315,345,train
maze_10.0,maze,maze,330,360,train
maze_10.0,maze,maze,345,375,train
maze_10.0,maze,maze,360,390,train
maze_10.0,maze,maze,375,405,train
maze_10.0,maze,maze,390,420,train
maze_10.0,maze,maze,405,435,train
maze_10.0,maze,maze,420,450,train
maze_10.0,maze,maze,435,465,train
maze_10.0,maze,maze,450,480,train
maze_10.0,maze,maze,465,495,train
maze_10.0,maze,maze,480,510,train
maze_10.0,maze,maze,495,525,train
maze_10.0,maze,maze,510,540,train
maze_10.0,maze,maze,525,555,train
maze_10.0,maze,maze,540,570,excluded
maze_10.0,maze,maze,555,585,excluded
maze_10.0,maze,maze,570,600,excluded
maze_10.0,maze,maze,585,615,validation
maze_10.0,maze,maze,600,630,validation
maze_10.0,maze,maze,615,645,validation
maze_10.0,maze,maze,630,660,validation
maze_10.0,maze,maze,645,675,validation
maze_10.0,maze,maze,660,690,validation
maze_10.0,maze,maze,675,705,validation
maze_10.0,maze,maze,690,720,validation
maze_10.0,maze,maze,705,735,validation
maze_10.0,maze,maze,720,750,excluded
maze_10.0,maze,maze,735,765,excluded
maze_10.0,maze,maze,750,780,excluded
maze_10.0,maze,maze,765,795,test
maze_10.0,maze,maze,780,810,test
maze_10.0,maze,maze,795,825,test
maze_10.0,maze,maze,810,840,test
maze_10.0,maze,maze,825,855,test
maze_10.0,maze,maze,840,870,test
maze_10.0,maze,maze,855,885,test
maze_10.0,maze,maze,870,900,test
maze_10.0,maze,maze,885,915,test
maze_10.0,maze,maze,900,930,test
maze_11.0,maze,maze,0,30,train
maze_11.0,maze,maze,15,45,train
maze_11.0,maze,maze,30,60,train
maze_11.0,maze,maze,45,75,train
maze_11.0,maze,maze,60,90,train
maze_11.0,maze,maze,75,105,train
maze_11.0,maze,maze,90,120,train
maze_11.0,maze,maze,105,135,train
maze_11.0,maze,maze,120,150,train
maze_11.0,maze,maze,135,165,train
maze_11.0,maze,maze,150,180,train
maze_11.0,maze,maze,165,195,train
maze_11.0,maze,maze,180,210,train
maze_11.0,maze,maze,195,225,train
maze_11.0,maze,maze,210,240,train
maze_11.0,maze,maze,225,255,train
maze_11.0,maze,maze,240,270,train
maze_11.0,maze,maze,255,285,train
maze_11.0,maze,maze,270,300,train
maze_11.0,maze,maze,285,315,train
maze_11.0,maze,maze,300,330,train
maze_11.0,maze,maze,315,345,train
maze_11.0,maze,maze,330,360,train
maze_11.0,maze,maze,345,375,train
maze_11.0,maze,maze,360,390,train
maze_11.0,maze,maze,375,405,train
maze_11.0,maze,maze,390,420,train
maze_11.0,maze,maze,405,435,train
maze_11.0,maze,maze,420,450,train
maze_11.0,maze,maze,435,465,train
maze_11.0,maze,maze,450,480,train
maze_11.0,maze,maze,465,495,train
maze_11.0,maze,maze,480,510,train
maze_11.0,maze,maze,495,525,train
maze_11.0,maze,maze,510,540,train
maze_11.0,maze,maze,525,555,excluded
maze_11.0,maze,maze,540,570,excluded
maze_11.0,maze,maze,555,585,excluded
maze_11.0,maze,maze,570,600,validation
maze_11.0,maze,maze,585,615,validation
maze_11.0,maze,maze,600,630,validation
maze_11.0,maze,maze,615,645,validation
maze_11.0,maze,maze,630,660,validation
maze_11.0,maze,maze,645,675,validation
maze_11.0,maze,maze,660,690,validation
maze_11.0,maze,maze,675,705,validation
maze_11.0,maze,maze,690,720,validation
maze_11.0,maze,maze,705,735,excluded
maze_11.0,maze,maze,720,750,excluded
maze_11.0,maze,maze,735,765,excluded
maze_11.0,maze,maze,750,780,test
maze_11.0,maze,maze,765,795,test
maze_11.0,maze,maze,780,810,test
maze_11.0,maze,maze,795,825,test
maze_11.0,maze,maze,810,840,test
maze_11.0,maze,maze,825,855,test
maze_11.0,maze,maze,840,870,test
maze_11.0,maze,maze,855,885,test
maze_11.0,maze,maze,870,900,test
maze_11.0,maze,maze,885,915,test
maze_12.0,maze,maze,0,30,train
maze_12.0,maze,maze,15,45,train
maze_12.0,maze,maze,30,60,train
maze_12.0,maze,maze,45,75,train
maze_12.0,maze,maze,60,90,train
maze_12.0,maze,maze,75,105,train
maze_12.0,maze,maze,90,120,train
maze_12.0,maze,maze,105,135,train
maze_12.0,maze,maze,120,150,train
maze_12.0,maze,maze,135,165,train
maze_12.0,maze,maze,150,180,train
maze_12.0,maze,maze,165,195,train
maze_12.0,maze,maze,180,210,train
maze_12.0,maze,maze,195,225,train
maze_12.0,maze,maze,210,240,train
maze_12.0,maze,maze,225,255,train
maze_12.0,maze,maze,240,270,train
maze_12.0,maze,maze,255,285,train
maze_12.0,maze,maze,270,300,train
maze_12.0,maze,maze,285,315,train
maze_12.0,maze,maze,300,330,train
maze_12.0,maze,maze,315,345,train
maze_12.0,maze,maze,330,360,train
maze_12.0,maze,maze,345,375,train
maze_12.0,maze,maze,360,390,train
maze_12.0,maze,maze,375,405,train
maze_12.0,maze,maze,390,420,train
maze_12.0,maze,maze,405,435,train
maze_12.0,maze,maze,420,450,train
maze_12.0,maze,maze,435,465,train
maze_12.0,maze,maze,450,480,train
maze_12.0,maze,maze,465,495,train
maze_12.0,maze,maze,480,510,train
maze_12.0,maze,maze,495,525,train
maze_12.0,maze,maze,510,540,train
maze_12.0,maze,maze,525,555,excluded
maze_12.0,maze,maze,540,570,excluded
maze_12.0,maze,maze,555,585,excluded
maze_12.0,maze,maze,570,600,validation
maze_12.0,maze,maze,585,615,validation
maze_12.0,maze,maze,600,630,validation
maze_12.0,maze,maze,615,645,validation
maze_12.0,maze,maze,630,660,validation
maze_12.0,maze,maze,645,675,validation
maze_12.0,maze,maze,660,690,validation
maze_12.0,maze,maze,675,705,validation
maze_12.0,maze,maze,690,720,validation
maze_12.0,maze,maze,705,735,excluded
maze_12.0,maze,maze,720,750,excluded
maze_12.0,maze,maze,735,765,excluded
maze_12.0,maze,maze,750,780,test
maze_12.0,maze,maze,765,795,test
maze_12.0,maze,maze,780,810,test
maze_12.0,maze,maze,795,825,test
maze_12.0,maze,maze,810,840,test
maze_12.0,maze,maze,825,855,test
maze_12.0,maze,maze,840,870,test
maze_12.0,maze,maze,855,885,test
maze_12.0,maze,maze,870,900,test
maze_12.0,maze,maze,885,915,test
maze_13.0,maze,maze,0,30,train
maze_13.0,maze,maze,15,45,train
maze_13.0,maze,maze,30,60,train
maze_13.0,maze,maze,45,75,train
maze_13.0,maze,maze,60,90,train
maze_13.0,maze,maze,75,105,train
maze_13.0,maze,maze,90,120,train
maze_13.0,maze,maze,105,135,train
maze_13.0,maze,maze,120,150,train
maze_13.0,maze,maze,135,165,train
maze_13.0,maze,maze,150,180,train
maze_13.0,maze,maze,165,195,train
maze_13.0,maze,maze,180,210,train
maze_13.0,maze,maze,195,225,train
maze_13.0,maze,maze,210,240,train
maze_13.0,maze,maze,225,255,train
maze_13.0,maze,maze,240,270,train
maze_13.0,maze,maze,255,285,train
maze_13.0,maze,maze,270,300,train
maze_13.0,maze,maze,285,315,train
maze_13.0,maze,maze,300,330,train
maze_13.0,maze,maze,315,345,train
maze_13.0,maze,maze,330,360,train
maze_13.0,maze,maze,345,375,train
maze_13.0,maze,maze,360,390,train
maze_13.0,maze,maze,375,405,train
maze_13.0,maze,maze,390,420,train
maze_13.0,maze,maze,405,435,train
maze_13.0,maze,maze,420,450,train
maze_13.0,maze,maze,435,465,train
maze_13.0,maze,maze,450,480,train
maze_13.0,maze,maze,465,495,train
maze_13.0,maze,maze,480,510,train
maze_13.0,maze,maze,495,525,train
maze_13.0,maze,maze,510,540,train
maze_13.0,maze,maze,525,555,excluded
maze_13.0,maze,maze,540,570,excluded
maze_13.0,maze,maze,555,585,excluded
maze_13.0,maze,maze,570,600,validation
maze_13.0,maze,maze,585,615,validation
maze_13.0,maze,maze,600,630,validation
maze_13.0,maze,maze,615,645,validation
maze_13.0,maze,maze,630,660,validation
maze_13.0,maze,maze,645,675,validation
maze_13.0,maze,maze,660,690,validation
maze_13.0,maze,maze,675,705,validation
maze_13.0,maze,maze,690,720,validation
maze_13.0,maze,maze,705,735,excluded
maze_13.0,maze,maze,720,750,excluded
maze_13.0,maze,maze,735,765,excluded
maze_13.0,maze,maze,750,780,test
maze_13.0,maze,maze,765,795,test
maze_13.0,maze,maze,780,810,test
maze_13.0,maze,maze,795,825,test
maze_13.0,maze,maze,810,840,test
maze_13.0,maze,maze,825,855,test
maze_13.0,maze,maze,840,870,test
maze_13.0,maze,maze,855,885,test
maze_13.0,maze,maze,870,900,test
maze_13.0,maze,maze,885,915,test
maze_14.0,maze,maze,0,30,train
maze_14.0,maze,maze,15,45,train
maze_14.0,maze,maze,30,60,train
maze_14.0,maze,maze,45,75,train
maze_14.0,maze,maze,60,90,train
maze_14.0,maze,maze,75,105,train
maze_14.0,maze,maze,90,120,train
maze_14.0,maze,maze,105,135,train
maze_14.0,maze,maze,120,150,train
maze_14.0,maze,maze,135,165,train
maze_14.0,maze,maze,150,180,train
maze_14.0,maze,maze,165,195,train
maze_14.0,maze,maze,180,210,train
maze_14.0,maze,maze,195,225,train
maze_14.0,maze,maze,210,240,train
maze_14.0,maze,maze,225,255,train
maze_14.0,maze,maze,240,270,train
maze_14.0,maze,maze,255,285,train
maze_14.0,maze,maze,270,300,train
maze_14.0,maze,maze,285,315,train
maze_14.0,maze,maze,300,330,train
maze_14.0,maze,maze,315,345,train
maze_14.0,maze,maze,330,360,train
maze_14.0,maze,maze,345,375,train
maze_14.0,maze,maze,360,390,train
maze_14.0,maze,maze,375,405,train
maze_14.0,maze,maze,390,420,train
maze_14.0,maze,maze,405,435,train
maze_14.0,maze,maze,420,450,train
maze_14.0,maze,maze,435,465,train
maze_14.0,maze,maze,450,480,train
maze_14.0,maze,maze,465,495,train
maze_14.0,maze,maze,480,510,train
maze_14.0,maze,maze,495,525,train
maze_14.0,maze,maze,510,540,train
maze_14.0,maze,maze,525,555,train
maze_14.0,maze,maze,540,570,excluded
maze_14.0,maze,maze,555,585,excluded
maze_14.0,maze,maze,570,600,excluded
maze_14.0,maze,maze,585,615,validation
maze_14.0,maze,maze,600,630,validation
maze_14.0,maze,maze,615,645,validation
maze_14.0,maze,maze,630,660,validation
maze_14.0,maze,maze,645,675,validation
maze_14.0,maze,maze,660,690,validation
maze_14.0,maze,maze,675,705,validation
