participant_id,source_dataset,split,included_in_passive_headline
maze_1.0,maze,train,False
maze_10.0,maze,train,False
maze_11.0,maze,test,False
maze_12.0,maze,test,False
maze_13.0,maze,train,False
maze_14.0,maze,train,False
maze_15.0,maze,train,False
maze_16.0,maze,validation,False
maze_17.0,maze,train,False
maze_18.0,maze,train,False
maze_19.0,maze,train,False
maze_20.0,maze,train,False
maze_21.0,maze,train,False
maze_22.0,maze,train,False
maze_23.0,maze,test,False
maze_24.0,maze,validation,False
maze_25.0,maze,test,False
maze_26.0,maze,train,False
maze_27.0,maze,train,False
maze_28.0,maze,train,False
maze_29.0,maze,train,False
maze_3.0,maze,test,False
maze_30.0,maze,train,False
maze_31.0,maze,train,False
maze_33.0,maze,train,False
maze_34.0,maze,train,False
maze_35.0,maze,validation,False
maze_37.0,maze,train,False
maze_38.0,maze,test,False
maze_39.0,maze,train,False
maze_4.0,maze,test,False
maze_40.0,maze,validation,False
maze_5.0,maze,train,False
maze_6.0,maze,test,False
maze_7.0,maze,train,False
maze_8.0,maze,train,False
maze_9.0,maze,train,False
simulations_1.0,simulations,train,False
simulations_10.0,simulations,validation,False
simulations_11.0,simulations,train,False
simulations_12.0,simulations,train,False
simulations_13.0,simulations,validation,False
simulations_14.0,simulations,train,False
simulations_15.0,simulations,validation,False
simulations_16.0,simulations,test,True
simulations_17.0,simulations,train,False
simulations_18.0,simulations,train,False
simulations_19.0,simulations,train,False
simulations_2.0,simulations,test,True
simulations_20.0,simulations,test,True
simulations_21.0,simulations,train,False
simulations_22.0,simulations,train,False
simulations_23.0,simulations,train,False
simulations_24.0,simulations,test,True
simulations_25.0,simulations,train,False
simulations_3.0,simulations,train,False
simulations_4.0,simulations,test,True
simulations_5.0,simulations,train,False
simulations_6.0,simulations,train,False
simulations_7.0,simulations,train,False
simulations_8.0,simulations,train,False
simulations_9.0,simulations,train,False
terrain_101.0,terrain,validation,False
terrain_102.0,terrain,test,True
terrain_103.0,terrain,train,False
terrain_104.0,terrain,test,True
terrain_105.0,terrain,train,False
terrain_106.0,terrain,train,False
terrain_107.0,terrain,train,False
terrain_108.0,terrain,train,False
terrain_109.0,terrain,train,False
terrain_110.0,terrain,train,False
terrain_111.0,terrain,train,False
terrain_112.0,terrain,train,False
terrain_113.0,terrain,test,True
terrain_114.0,terrain,test,True
terrain_115.0,terrain,train,False
terrain_116.0,terrain,train,False
terrain_117.0,terrain,validation,False
terrain_118.0,terrain,train,False
terrain_119.0,terrain,train,False
terrain_120.0,terrain,train,False
terrain_121.0,terrain,train,False
terrain_122.0,terrain,train,False
